Year,Quarter,Dividends,Shares
1,1,30.93,300
1,2,72.17,700
1,3,113.40,1100
1,4,154.64,1500
2,1,195.88,1900
2,2,237.12,2300
2,3,278.36,2700
2,4,319.59,3100
3,1,360.83,3500
3,2,412.38,4000
3,3,453.62,4400
3,4,494.86,4800
4,1,546.40,5300
4,2,587.64,5700
4,3,639.19,6200
4,4,680.43,6600
5,1,731.97,7100
5,2,783.52,7600
5,3,835.07,8100
5,4,876.31,8500
